FID,name,iso_a3,SDI,Area,Zone,Continent
127,Guyana,GUY,Middle SDI,2.11E+11,Low_Lat,SA
125,Honduras,HND,Low-middle SDI,1.13E+11,Low_Lat,NA
155,Croatia,HRV,High-middle SDI,54542966613,Middle_Lat,EU
126,Haiti,HTI,Low SDI,26722975692,Low_Lat,NA
124,Hungary,HUN,High-middle SDI,93213091751,Middle_Lat,EU
121,Indonesia,IDN,Middle SDI,1.86E+12,Low_Lat,AS
122,India,IND,Low-middle SDI,3.15E+12,Low_Lat,AS
118,Ireland,IRL,High SDI,68982780473,Middle_Lat,EU
120,Iran,IRN,Middle SDI,1.62E+12,Middle_Lat,AS
119,Iraq,IRQ,Middle SDI,4.37E+11,Middle_Lat,AS
123,Iceland,ISL,High SDI,1.02E+11,High_Lat,EU
116,Israel,ISR,High-middle SDI,22032247343,Middle_Lat,AS
115,Italy,ITA,High-middle SDI,3.01E+11,Middle_Lat,EU
114,Jamaica,JAM,Middle SDI,10897442369,Low_Lat,NA
112,Jordan,JOR,High-middle SDI,88781974574,Middle_Lat,AS
113,Japan,JPN,High SDI,3.70E+11,Middle_Lat,AS
111,Kazakhstan,KAZ,High-middle SDI,2.72E+12,Middle_Lat,EU
110,Kenya,KEN,Low-middle SDI,5.92E+11,Low_Lat,AF
107,Kyrgyzstan,KGZ,Low-middle SDI,1.99E+11,Middle_Lat,AS
169,Cambodia,KHM,Low-middle SDI,1.81E+11,Low_Lat,AS
109,Kiribati,KIR,Low-middle SDI,933385077.8,Low_Lat,OC
57,St. Kitts and Nevis,KNA,High-middle SDI,232172591.3,Low_Lat,NA
41,South Korea,KOR,High SDI,97173668573,Middle_Lat,AS
108,Kuwait,KWT,High SDI,17307759173,Low_Lat,AS
106,Laos,LAO,Low-middle SDI,2.28E+11,Low_Lat,AS
104,Lebanon,LBN,High-middle SDI,10008140581,Middle_Lat,AS
102,Liberia,LBR,Low SDI,95255043200,Low_Lat,AF
101,Libya,LBY,High-middle SDI,1.62E+12,Low_Lat,AF
56,Saint Lucia,LCA,Middle SDI,549270961.3,Low_Lat,NA
39,Sri Lanka,LKA,High-middle SDI,65763394891,Low_Lat,AS
103,Lesotho,LSO,Low-middle SDI,29991129945,Low_Lat,AF
100,Lithuania,LTU,High SDI,64815354311,Middle_Lat,EU
99,Luxembourg,LUX,High SDI,2620632363,Middle_Lat,EU
105,Latvia,LVA,High SDI,64577647708,Middle_Lat,EU
84,Morocco,MAR,Low-middle SDI,4.04E+11,Middle_Lat,AF
88,Monaco,MCO,High SDI,12439161.72,Middle_Lat,EU
87,Moldova,MDA,High-middle SDI,33207601166,Middle_Lat,EU
97,Madagascar,MDG,Low SDI,5.93E+11,Low_Lat,AF
94,Maldives,MDV,Low-middle SDI,66118992.32,Middle_Lat,AS
